title,original_lang,popularity,vote_count,vote_average
Next,en,18.22,1801,5.9
The Adventures of Bullwhip Griffin,en,18.207,6,6.8
Miracle in Cell No. 7,tl,18.202,6,7.7
3 Days to Kill,en,18.2,1427,6
Blazing Saddles,en,18.194,1064,7.3
The Whole Nine Yards,en,18.18,1057,6.4
Home on the Range,en,18.155,1208,5.9
The Devil's Advocate,en,18.153,3224,7.4
Anita,en,18.141,0,0
Closer,en,18.14,1958,6.8
Legend,en,18.134,2002,6.9
Beverly Hills Cop,en,18.125,2214,7.1
The Lion King II: Simba's Pride,en,18.118,2790,6.9
Fractured,en,18.117,911,6.6
Snowden,en,18.114,2851,7.1
Tale of Tales,it,18.113,981,6.3
28 Weeks Later,en,18.107,2475,6.5
The Sound of Music,en,18.106,1928,7.7
Collateral,en,18.095,3010,7.2
The Descent: Part 2,en,18.092,584,5.9
Silver Linings Playbook,en,18.082,8515,7.1
101 Dalmatians II: Patch's London Adventure,en,18.064,689,5.9
Something Something¡­ Unakkum Enakkum,ta,18.06,16,6.6
Killer Elite,en,18.058,1250,6.2
Riddick,en,18.051,2745,6.2
Cocoon,en,18.045,682,6.5
On Her Majesty's Secret Service,en,18.045,944,6.5
High Tension,fr,18.043,651,6.7
Disconnect,en,18.042,751,7.1
The Witch,en,18.034,3627,6.7
The Legend of Tarzan,en,18.03,4517,5.8
The Messenger: The Story of Joan of Arc,en,18.029,825,6.3
Hachi: A Dog's Tale,en,18.024,4164,8
The Cabin in the Woods,en,18.014,4909,6.5
Patch Adams,en,18.012,1965,7.2
The Wild Bunch,en,18.003,592,7.7
American Pie Presents: Band Camp,en,17.995,1320,5.3
The Emoji Movie,en,17.991,1734,5.3
American Hustle,en,17.991,5042,6.8
The Aviator,en,17.991,3205,7.2
The Crow,en,17.989,2156,7.5
Burning,ko,17.975,599,7.4
Lone Survivor,en,17.965,2583,7.4
U.S. Marshals,en,17.963,844,6.4
Olaf's Frozen Adventure,en,17.958,967,6.2
Natural Born Killers,en,17.957,1927,7.1
Inside Llewyn Davis,en,17.955,1636,7.2
King Arthur,en,17.955,1684,6.2
Bean,en,17.955,1453,6.4
Battle Royale,en,17.954,0,0
Real Genius,en,17.944,212,6.8
Teen Beach 2,en,17.943,354,6.5
A Most Violent Year,en,17.932,891,6.6
Miami Vice,en,17.928,979,5.9
Downfall,de,17.922,2080,7.8
Klaus,en,17.92,1513,8.3
Survival Island,en,17.914,90,4.4
Vera,en,17.911,0,0
Lethal Weapon 3,en,17.91,1634,6.6
For a Few Dollars More,it,17.909,2110,8
The Help,en,17.906,4535,8.1
The Seventh Seal,sv,17.903,1454,8.2
Enough Said,en,17.9,501,6.7
Fifty Shades Darker,en,17.897,4993,6.2
The Hunchback of Notre Dame,en,17.897,3167,7
Paprika,it,17.883,85,5.9
He's Just Not That Into You,en,17.877,2319,6.4
Daredevil,en,17.875,3249,5.1
Unleashed,en,17.871,1076,6.7
Harriet,en,17.867,170,6.8
The Professor and the Madman,en,17.864,406,7.2
Coyote Ugly,en,17.864,1211,6.1
True Romance,en,17.864,1497,7.5
Sinbad: Legend of the Seven Seas,en,17.862,1131,6.8
Van Helsing,en,17.853,3520,6.1
Asterix & Obelix: Mission Cleopatra,fr,17.851,2068,7.4
The Lion King 1?,en,17.846,1925,6.5
One Day,en,17.845,2417,7.2
3:10 to Yuma,en,17.842,2128,7.1
Cake,en,17.841,633,6.3
The Fog,en,17.84,703,6.6
Honeydew,en,17.831,0,0
Sex Drive,en,17.831,676,6.1
Up in Smoke,en,17.83,322,6.8
Hellboy,en,17.823,4622,6.6
Emmanuelle II,fr,17.815,42,5.3
The Social Network,en,17.81,7179,7.3
Scary Movie 3,en,17.81,2432,5.9
The Island,en,17.809,3451,6.6
Ida,pl,17.808,537,7.3
John Wick: Chapter 4,en,17.804,0,0
Face/Off,en,17.804,3054,6.9
What Happened to Monday,en,17.802,3988,7.2
Cloudy with a Chance of Meatballs,en,17.8,3787,6.5
Giant Little Ones,en,17.798,81,7.6
The ComDads,fr,17.795,206,6.5
Palm Trees in the Snow,es,17.793,287,7.4
The Karate Kid,en,17.787,2061,7
The Core,en,17.785,959,5.6
Arthur and the Revenge of Maltazard,en,17.783,1127,5.6
The Wailing,ko,17.779,717,7.3
Hostel,en,17.779,2117,5.8
Tombstone,en,17.778,1071,7.5
Pompeii,en,17.777,2324,5.4
Mad Max 2,en,17.774,1965,7.4
Starship Troopers 3: Marauder,en,17.77,246,4.5
Tong Tatlong Tatay Kong Pakitong Kitong,en,17.769,0,0
Apocalypto,en,17.769,2773,7.4
The Battle of Algiers,it,17.767,347,8
Labyrinth,en,17.764,1285,7.2
Chocolat,en,17.758,2132,6.9
Scooby-Doo 2: Monsters Unleashed,en,17.755,1514,5.7
RoboCop 2,en,17.746,952,5.8
Poissonsexe,fr,17.743,1,5
The Nightmare Before Christmas,en,17.743,5523,7.8
The Peacemaker,en,17.742,522,5.9
Outlander,en,17.741,650,6.2
What's Eating Gilbert Grape,en,17.74,2221,7.6
50 First Dates,en,17.736,4676,6.8
Speed,en,17.733,3555,7
The League of Extraordinary Gentlemen,en,17.713,2476,5.9
Captain Phillips,en,17.705,4377,7.6
Case 39,en,17.705,1330,6.2
Love and Death,en,17.703,453,7.7
LEGO Jurassic World: The Indominus Escape,en,17.702,41,5.9
Parker,en,17.698,2029,5.8
Fist of Fury,zh,17.691,432,7.4
The Hedgehog,fr,17.69,213,7.2
Resident Evil,en,17.685,3920,6.5
The Hurt Locker,en,17.684,3498,7.3
The Giver,en,17.683,3404,6.5
Boomerang,en,17.683,301,5.5
Blade: Trinity,en,17.68,2358,5.8
The Mad Adventures of Rabbi Jacob,fr,17.676,543,7.3
Hotel Transylvania,en,17.66,5737,6.9
Apollo 18,en,17.658,565,5
Superman Returns,en,17.658,2687,5.6
Kiss Kiss Bang Bang,en,17.651,1607,7.2
Insidious: The Last Key,en,17.645,1585,6.1
Ender's Game,en,17.645,3941,6.6
2 Guns,en,17.642,2636,6.5
The Fittest,en,17.632,0,0
Surf's Up,en,17.63,1470,6.2
Stealth,en,17.602,577,5.1
The Living Daylights,en,17.602,884,6.4
Police Story,cn,17.601,322,7.4
Eden Lake,en,17.599,895,6.8
Final Destination,en,17.599,3201,6.5
Early Man,en,17.594,411,6
Scream 4,en,17.59,1859,6.2
Black Snake Moan,en,17.588,469,6.8
Hellboy II: The Golden Army,en,17.586,3276,6.7
Monsters vs Aliens,en,17.584,2961,6.1
Changeling,en,17.584,2416,7.5
Jessabelle,en,17.583,495,5.3
Sathyam Paranja Viswasikkuvo ?,ml,17.576,3,4.3
Puss in Boots,en,17.567,1769,6.3
I Lost,en,17.566,0,0
Return to Never Land,en,17.563,887,6.2
Serenity,en,17.556,2187,7.4
Son of God,en,17.555,143,6.5
Seven Samurai,ja,17.552,1783,8.4
Rob Roy,en,17.55,311,6.7
Rush Hour,en,17.549,2621,6.9
AVP: Alien vs. Predator,en,17.538,2521,5.7
How the West Was Won,en,17.536,200,7.2
Meet the Fockers,en,17.536,3050,6.2
Captain America: The First Avenger,en,17.535,14432,6.9
Starship Troopers: Invasion,en,17.527,214,5.7
Life of Crime,en,17.526,224,5.6
Mamma Mia!,en,17.524,4282,6.9
EuroTrip,en,17.524,1413,6.5
Sparrows,is,17.523,19,6.8
An Unfinished Life,en,17.521,309,6.7
What to Expect When You're Expecting,en,17.515,1295,6
Looper,en,17.512,7353,6.8
Cheaper by the Dozen,en,17.511,1796,6.2
Hard Rain,en,17.501,373,5.7
Ghost in the Shell,ja,17.501,1693,7.9
Saw II,en,17.501,3092,6.5
The Art of Self-Defense,en,17.497,210,6.6
Escape from New York,en,17.479,1619,7.1
Vampire Academy,en,17.475,1136,6
8MM,en,17.471,1001,6.3
Out of Africa,en,17.469,736,7.3
Mr. Holmes,en,17.468,1245,6.5
Safe,en,17.465,1424,6.3
Saw IV,en,17.463,2152,6.1
Must Love Dogs,en,17.458,284,5.9
Newness,en,17.453,322,5.9
The Texas Chainsaw Massacre: The Beginning,en,17.452,967,5.9
Phantom Thread,en,17.439,1982,7.3
Last Action Hero,en,17.439,1472,6.3
21 Jump Street,en,17.438,7258,6.8
Scream,en,17.433,3426,7.2
Buffalo Soldiers,en,17.429,154,6.4
Suicide Kings,en,17.426,147,6.6
The Mountain Between Us,en,17.422,1416,6.5
The King's Speech,en,17.411,5790,7.7
The Jackal,en,17.41,1051,6.3
The Curse of La Llorona,en,17.405,1060,5.6
Robin Hood,en,17.401,2797,7.3
The Package,en,17.392,657,5.8
The Illusionist,en,17.392,3117,7.3
Miss Congeniality,en,17.391,2305,6.4
Every Day,en,17.386,1340,7
Young Guns II,en,17.384,289,6.5
Insomnia,en,17.384,2632,6.9
The Bourne Legacy,en,17.383,3976,6.1
No Strings Attached,en,17.378,3057,6.2
All the Money in the World,en,17.376,1394,6.4
Monster-in-Law,en,17.374,997,6
Heavenly Creatures,en,17.37,532,7.1
Accident Man,en,17.368,187,5.3
Goosebumps 2: Haunted Halloween,en,17.362,670,5.7
The Royal Tenenbaums,en,17.347,2653,7.5
Cop Out,en,17.346,908,5.4
Otherhood,en,17.329,239,6.1
Spellbound,en,17.329,410,7.5
Friends with Benefits,en,17.327,5362,6.6
The Art of War,en,17.315,270,5.7
Wonder Woman 1984,en,17.314,0,0
Alvin and the Chipmunks: The Road Chip,en,17.309,991,5.9
Sand Castle,en,17.303,422,6.4
From Dusk Till Dawn,en,17.303,3559,7
The Blind Side,en,17.3,3370,7.5
Starsky & Hutch,en,17.297,1419,5.8
The Dirty Dozen,en,17.297,603,7.7
Black Rain,en,17.286,532,6.5
Money Talks,en,17.284,174,5.9
Cats & Dogs,en,17.281,974,5.3
How the Grinch Stole Christmas,en,17.281,4223,6.6
If I Stay,en,17.28,3069,7.4
The Blues Brothers,en,17.278,2394,7.7
Focus,en,17.273,4859,6.8
S. Darko,en,17.27,245,3.9
Drillbit Taylor,en,17.27,587,5.6
SarCar Ki Seva Mei,hi,17.268,0,0
The Age of Adaline,en,17.265,4314,7.4
The Iron Giant,en,17.263,3270,7.8
The Game Plan,en,17.259,1163,6.3
Tinker Bell and the Pirate Fairy,en,17.258,594,6.7
In the Line of Fire,en,17.258,789,6.9
Mad Max Beyond Thunderdome,en,17.258,1537,6.1
Tell It to the Bees,en,17.247,67,6.5
Rocky III,en,17.247,2269,6.8
St. Vincent,en,17.242,1199,7.1
Jackie Brown,en,17.242,3720,7.3
Pok¨¦mon 3: The Movie - Spell of the Unown,ja,17.236,345,6.3
The Lego Movie 2: The Second Part,en,17.235,1010,6.6
Lara Croft: Tomb Raider,en,17.232,4204,5.8
The Turning,en,17.231,56,5.7
"See No Evil, Hear No Evil",en,17.229,515,6.7
Contact,en,17.226,2513,7.3
Beverly Hills Cop II,en,17.226,1290,6.4
Hackers,en,17.219,712,6.3
Falling Inn Love,en,17.214,587,6.5
Killers,en,17.209,1498,5.8
Anna Karenina,en,17.207,1495,6.7
The Punisher,en,17.207,1584,6.2
Butch Cassidy and the Sundance Kid,en,17.202,1221,7.6
Mr. Peabody & Sherman,en,17.2,1537,6.7
Dark Shadows,en,17.197,4824,5.9
Law of Desire,es,17.191,118,7.5
Disturbia,en,17.188,2167,6.6
On the Basis of Sex,en,17.183,463,7.4
WarGames,en,17.176,982,7.1
"I, Tonya",en,17.172,3534,7.5
Hedwig and the Angry Inch,en,17.172,174,7.8
RoboCop,en,17.161,2824,7.2
Marvel One-Shot: The Consultant,en,17.16,242,6.5
Playing with Fire,en,17.159,195,6.6
Rendition,en,17.153,395,6.5
Gun-shy,de,17.151,6,7
Hot Bot,en,17.141,133,4.1
The Scorpion King 2: Rise of a Warrior,en,17.141,343,4.3
Stitch! The Movie,en,17.135,381,6.4
Spy,en,17.133,4284,6.8
Frequency,en,17.133,958,7.1
Austin Powers in Goldmember,en,17.132,1978,5.9
Bridget Jones's Diary,en,17.132,3194,6.7
Sing Street,en,17.129,1392,8
Warrior,en,17.127,2507,7.8
Rocco,en,17.126,110,5.7
Concussion,en,17.126,1670,7.1
The Tale of the Princess Kaguya,ja,17.123,805,8.1
The Forbidden Kingdom,en,17.121,926,6.4
Step Up,en,17.116,2553,6.8
Amityville: The Awakening,en,17.109,675,5.4
Maggie,en,17.108,1070,5.3
Rambo III,en,17.103,1635,6
Demolition Man,en,17.099,1994,6.5
Poseidon,en,17.098,1204,5.7
My Own Private Idaho,en,17.097,555,7.1
Memoirs of a Geisha,en,17.088,1541,7.6
Dave,en,17.084,397,6.5
High School Musical,en,17.083,3118,6.5
Elizabeth: The Golden Age,en,17.075,738,6.7
Horrible Histories: The Movie - Rotten Romans,en,17.072,24,4.7
Eagle Eye,en,17.068,1800,6.4
Letters from Iwo Jima,en,17.066,1133,7.5
Puss in Boots: The Three Diablos,en,17.063,248,6.5
Block Z,tl,17.06,3,7
Delusions of Grandeur,fr,17.059,365,7.6
The Bridge on the River Kwai,en,17.058,1075,7.9
Wrong Turn,en,17.057,1362,6.2
Bride of Chucky,en,17.052,874,5.7
Cellular,en,17.045,1103,6.3
The Key,it,17.04,129,5
Free Fall,de,17.039,425,7.6
Soldier,en,17.037,389,6.1
Casper,en,17.031,2935,6.2
Kick-Ass,en,17.027,8360,7.1
Chronicle,en,17.024,3407,6.7
Doctor Dolittle,en,17.023,1920,5.6
Godzilla,en,17.023,2287,5.5
District 9,en,17.018,6131,7.4
Eli,en,17.017,587,5.9
Meet the Robinsons,en,17.008,1723,6.8
Insidious: Chapter 2,en,17.006,2599,6.6
The Immortal,it,17.005,140,7.2
Can You Hear Us Now?,en,17.004,0,0
Slaughterhouse Rulez,en,17.004,133,5.7
A Serbian Film,sr,16.995,950,5.5
The Lobster,en,16.994,3550,7
All Things Fair,sv,16.993,52,6.4
The Jungle Book 2,en,16.993,717,5.8
The English Patient,en,16.992,1165,7.2
What Men Want,en,16.979,637,5.9
Shoplifters,ja,16.978,860,8
Kin,en,16.978,429,6.1
Byzantium,en,16.978,523,6.3
Rush,en,16.978,4437,7.7
Tropic Thunder,en,16.975,3618,6.5
John Carter,en,16.974,3730,6.2
KonoSuba: God's Blessing on this Wonderful World! Legend of Crimson,ja,16.963,33,8.6
The Proposal,en,16.963,3939,7
The Good Shepherd,en,16.958,622,6.4
National Lampoon's Vacation,en,16.957,791,7.1
The Wing or the Thigh,fr,16.957,453,7.2
The Man in the Iron Mask,en,16.956,2408,6.5
"Where'd You Go, Bernadette",en,16.952,138,6.5
"Roman J. Israel, Esq.",en,16.951,617,6.3
Wild,en,16.946,1607,7
Enter the Dragon,en,16.942,942,7.4
The Lost City of Z,en,16.939,1658,6.2
The Hunt for Red October,en,16.934,1780,7.4
Not Another Teen Movie,en,16.933,1073,5.5
Scream 3,en,16.933,1706,5.9
Three Steps Above Heaven,es,16.932,1163,7.5
The Grinch,en,16.931,1570,6.5
Night at the Museum: Battle of the Smithsonian,en,16.927,4653,6.1
Click,en,16.926,4545,6.1
The Passion of the Christ,en,16.918,2068,7.1
The Upside,en,16.912,550,7.1
Good Sister-In-Law - Forbidden Love,ko,16.91,3,7.7
Non-Stop,en,16.91,3638,6.8
Before Sunrise,en,16.91,2133,7.9
Behind the Candelabra,en,16.909,506,6.7
Magic Mike XXL,en,16.898,1240,6.2
Star Wars: The Clone Wars,en,16.891,990,5.9
"Synecdoche, New York",en,16.891,680,7.6
Elle,fr,16.887,1149,6.7
Big Trouble in Little China,en,16.885,1581,7.2
The Truth,fr,16.882,65,6.2
The Layover,en,16.881,418,5.1
Happy Feet,en,16.88,3251,6
Das Boot,de,16.874,1117,8.1
A Perfect Murder,en,16.869,689,6.4
"Love, Simon",en,16.866,3886,8.1
Pretty Little Stalker,en,16.862,2,4.5
The Man with the Iron Heart,en,16.86,370,6.5
I Spit on Your Grave III: Vengeance is Mine,en,16.857,451,5.3
In the Mood for Love,cn,16.856,1026,8.1
Let Me In,en,16.85,1203,6.7
Starship Troopers 2: Hero of the Federation,en,16.848,295,3.9
Dumb and Dumber To,en,16.84,2093,5.5
Journey to the Center of the Earth,en,16.837,3090,5.9
La Haine,fr,16.837,1857,8.1
The Gendarme and the Creatures from Outer Space,fr,16.831,343,6.2
BURN¡¤E,en,16.829,422,7.7
Ghost Rider,en,16.825,3706,5.4
Barbie and the Magic of Pegasus 3-D,en,16.823,356,6.9
Spy Kids 3-D: Game Over,en,16.811,1322,5
The Last Boy Scout,en,16.811,968,6.7
Nine 1/2 Weeks,en,16.81,455,6
Quarantine,en,16.808,740,5.7
Good Boys,en,16.802,730,6.6
Wizards of Waverly Place: The Movie,en,16.799,961,6.4
Crank: High Voltage,en,16.794,1648,6
Johnny English,en,16.79,2067,6.2
"10,000 BC",en,16.786,1896,5.3
TMNT,en,16.785,634,5.9
"Honey, I Shrunk the Kids",en,16.78,1780,6.2
La Bamba,en,16.778,291,6.9
The Pacifier,en,16.777,1913,6
Stonehearst Asylum,en,16.776,813,6.8
Booksmart,en,16.775,1020,7.2
Enchanted,en,16.775,3639,6.7
Hard to Kill,en,16.774,302,5.8
Big,en,16.772,2114,7
The Sacred Riana: Beginning,id,16.767,0,0
Raging Bull,en,16.764,2283,8
Extinction,en,16.754,1002,5.9
A Knight's Tale,en,16.754,1883,6.8
The Aeronauts,en,16.751,351,6.8
The Hunger Games,en,16.75,15976,7.1
White House Down,en,16.749,3154,6.4
Top Gun: Maverick,en,16.744,0,0
Scooby-Doo! and the Curse of the 13th Ghost,en,16.743,64,7.4
"Lock, Stock and Two Smoking Barrels",en,16.74,3766,8.1
A Nightmare on Elm Street,en,16.739,1666,5.5
Horton Hears a Who!,en,16.738,2039,6.3
Yes Man,en,16.733,4127,6.6
Bridge to Terabithia,en,16.721,2847,7.2
Ang Pangarap Kong Holdap,tl,16.717,2,1.5
Penelope,en,16.717,939,6.6
Munich,en,16.717,1457,7.1
The Kid Who Would Be King,en,16.716,387,6
Fatal Attraction,en,16.71,723,6.8
Rush Hour 2,en,16.71,2264,6.6
Inferno,en,16.709,4310,5.9
Hunter Killer,en,16.707,960,6.4
13 Going on 30,en,16.706,3204,6.6
27 Dresses,en,16.706,2197,6.3
Summerland,en,16.699,0,0
Queen of Hearts,da,16.696,52,7.3
The Thin Red Line,en,16.69,1645,7.4
Jan Dara: The Beginning,th,16.688,9,6.2
The Hate U Give,en,16.684,1018,8.3
Time Bandits,en,16.68,497,6.7
The Final Cut,en,16.674,375,6.1
The Parent Trap,en,16.674,2155,7
Octopussy,en,16.673,1023,6.3
Starship Troopers,en,16.673,2787,6.9
Tales from Earthsea,ja,16.672,675,6.6
The Accidental Husband,en,16.666,360,5.5
Robin Hood,en,16.664,2931,6.3
Rat Race,en,16.663,1045,6.1
The Wedding Date,en,16.658,647,6.6
The Time Machine,en,16.657,1257,5.9
School of Rock,en,16.654,3417,7
The Red Pill,en,16.649,100,7.7
Dennis the Menace,en,16.645,803,5.6
Brother Bear 2,en,16.645,867,6.6
Wild Things,en,16.639,893,6.3
Camp Rock 2: The Final Jam,en,16.629,1033,6.2
Lethal Weapon 2,en,16.629,2028,6.9
Signs,en,16.627,3354,6.6
Welcome to Marwen,en,16.624,597,6.5
The Quick and the Dead,en,16.619,920,6.4
Cool Runnings,en,16.611,1116,7
Empire of the Sun,en,16.586,1005,7.5
Eastern Promises,en,16.579,1833,7.3
Teenage Mutant Ninja Turtles: Out of the Shadows,en,16.575,2084,5.9
9,en,16.572,2219,6.8
Red Heat,en,16.569,750,6
The Hangover Part II,en,16.566,7026,6.4
Bring It On: Worldwide #Cheersmack,en,16.565,124,5.7
Shaft,en,16.564,833,6.5
Batman: Mystery of the Batwoman,en,16.562,191,6.7
Duplicity,en,16.558,406,5.9
Fantasia,en,16.558,1773,7.4
Mowgli: Legend of the Jungle,en,16.557,1706,6.6
The Crucifixion,en,16.553,249,5.4
The Outlaw Josey Wales,en,16.552,569,7.5
"Legally Blonde 2: Red, White & Blonde",en,16.552,894,5.5
Day & Night,en,16.541,504,7.7
Charlie's Angels: Full Throttle,en,16.539,1948,5.4
Underworld,en,16.539,4252,6.7
Romance,fr,16.537,108,5.3
Universal Soldier,en,16.535,799,6
3 Men and a Little Lady,en,16.533,284,5.5
Two Weeks Notice,en,16.533,1149,6.3
Taxi,fr,16.533,1400,6.6
Seeking Justice,en,16.53,614,5.9
Barry Lyndon,en,16.53,1391,8
The Happening,en,16.528,1970,5.1
A Dog's Purpose,en,16.521,1816,7.4
Mirrors,en,16.519,1043,6.1
Blow Out,en,16.517,609,7.4
The Post,en,16.515,2982,7
The Vow,en,16.514,2720,7.1
The Quiet,en,16.513,132,6.1
Spy Kids: All the Time in the World,en,16.51,589,4.7
True Lies,en,16.509,2287,6.9
Rear Window,en,16.505,3481,8.3
Sublet,en,16.502,0,0
Predestination,en,16.501,3857,7.4
The Girl with the Dragon Tattoo,sv,16.5,1825,7.5
Jack Ryan: Shadow Recruit,en,16.498,1907,6.1
A Walk to Remember,en,16.498,2491,7.6
Step Up 2: The Streets,en,16.494,1556,6.6
In Her Shoes,en,16.49,811,6
Wrong Turn 2: Dead End,en,16.488,648,5.7
This Is the End,en,16.486,4259,6.2
Wild Orchid,en,16.484,117,4.8
Les Mis¨¦rables,en,16.483,3706,7.4
24 Hours to Live,en,16.481,361,5.7
Dirty Dancing,en,16.48,284,5.4
Paycheck,en,16.48,1064,6.1
Gremlins,en,16.477,3896,7.1
Judy,en,16.472,383,6.9
The Place Beyond the Pines,en,16.472,3121,6.9
Looking for Richard,en,16.468,77,6.9
The Invisible Man,en,16.464,340,7.5
Joy,en,16.461,3007,6.5
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,en,16.461,431,6.2
The Invisible Boy,it,16.457,639,6.1
